cafe_id,cafe_name,alamat,region,rating,review,fasilitas,kategori_harga,is_24hrs
109,The ORR'S Cafe Jakarta,"Jl. Pramuka No.18, RT.1/RW.1",East Jakarta,4.7,313,"wifi, smoking_area, outdoor, parking_area, live_music, indoor",$$,1
109,The ORR'S Cafe Jakarta,"Jl. Pramuka No.18, RT.1/RW.1",East Jakarta,4.7,313,"wifi, smoking_area, outdoor, parking_area, live_music, indoor",$$,1
109,The ORR'S Cafe Jakarta,"Jl. Pramuka No.18, RT.1/RW.1",East Jakarta,4.7,313,"wifi, smoking_area, outdoor, parking_area, live_music, indoor",$$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
4,Overlimit Coffee Jakarta ( Cafe ),"Jl. H. Soleh II No.2B, RT.7/RW.2",West Jakarta,4.7,248,"outdoor, live_music, wifi, smoking_area, alcohol",$,1
47,Dua Coffee @Cipete,Jl. Cipete Raya No.66,South Jakarta,4.6,889,"wifi, reservation, outdoor, smoking_area, parking_area",$$,1
47,Dua Coffee @Cipete,Jl. Cipete Raya No.66,South Jakarta,4.6,889,"wifi, reservation, outdoor, smoking_area, parking_area",$$,1
47,Dua Coffee @Cipete,Jl. Cipete Raya No.66,South Jakarta,4.6,889,"wifi, reservation, outdoor, smoking_area, parking_area",$$,1
