,cafe_id,region,rating,kategori_harga,is_24hrs,is_outdoor,is_smoking_area,is_parking_area,is_pet_friendly,is_wifi,is_indoor,is_live_music,is_takeaway,is_kid_friendly,is_alcohol,is_in_mall,is_toilets,is_reservation,is_vip_room
0,1,4,4.8,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
1,2,4,4.7,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2,3,4,4.7,1.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,4,4,4.7,0.0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0
4,5,4,4.6,1.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,6,4,4.6,1.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6,7,4,4.6,1.0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
7,8,4,4.6,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8,9,4,4.6,0.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
9,10,4,4.6,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
10,11,4,4.6,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
11,12,4,4.6,1.0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
12,13,4,4.6,0.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
13,14,4,4.6,1.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
14,15,4,4.6,1.0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
15,16,4,4.5,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
16,17,4,4.5,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
17,18,4,4.5,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
18,19,4,4.5,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,20,4,4.5,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
20,21,4,4.5,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
21,22,4,4.5,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
